Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,22 Jul 2026 7:22 PM,22 Jul 2026 7:07 PM,GrabFood,Payment ,,Transferred,34926060921,,,,0016167171-C8CHEJBGT2KJNX,GF-834,A-9K9XPNAWXFXBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDZ6WBNIKT8,23 Jul 2026 3:10 AM,41000,0,0,,0,,0,0,,0,0,41000,,,,0,,,-8200,0,0,0,0,32800,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,22 Jul 2026 6:31 PM,22 Jul 2026 5:50 PM,GrabFood,Payment ,,Transferred,34925004192,,,,001182276876-C8CHC7B1WFNTUA,GF-747,A-9K8QQ5BWW8GNAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDZ6WBNIKT8,23 Jul 2026 3:10 AM,33000,0,0,,0,,0,0,,0,0,33000,,,,0,,,-6600,0,0,0,0,26400,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,22 Jul 2026 4:30 PM,22 Jul 2026 3:46 PM,GrabFood,Payment ,,Transferred,34922796202,,,,001769717794-C8CHCAAJFE2CSA,GF-343,A-9K8FES9W3AJBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDZ6WBNIKT8,23 Jul 2026 3:10 AM,36000,0,0,,0,,0,0,,0,0,36000,,,,0,,,-7200,0,0,0,0,28800,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,22 Jul 2026 4:12 PM,22 Jul 2026 3:55 PM,GrabFood,Payment ,,Transferred,34922515644,,,,001955782878-C8CHCBJTEA2ZUA,GF-242T,001955782878-C8CHCBJTEA2ZUA,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDZ6WBNIKT8,23 Jul 2026 3:10 AM,29000,0,0,,0,,0,0,,0,0,29000,,,,0,,,-5800,0,0,0,0,23200,,,,,-574.77,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,21 Jul 2026 7:48 PM,21 Jul 2026 6:51 PM,GrabFood,Payment ,,Transferred,34909433120,,,,001476154243-C8CGGUWUE7BEC6,GF-652,A-9K4SGA6GW99OAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID6AAOAMMOC,22 Jul 2026 3:10 AM,39000,0,0,,0,,0,0,,0,0,39000,,,,0,,,-7800,0,0,0,0,31200,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,21 Jul 2026 3:46 PM,21 Jul 2026 3:32 PM,GrabFood,Payment ,,Transferred,34904990558,,,,00171777623-C8CGEK3UCXD3A2,GF-550,A-9K4A99OWX6A8AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID6AAOAMMOC,22 Jul 2026 3:10 AM,150000,0,0,,0,,0,0,,0,0,150000,,,,0,,,-30000,0,0,0,0,120000,,,,,-990.99,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,20 Jul 2026 9:15 PM,20 Jul 2026 9:02 PM,GrabFood,Payment ,,Transferred,34893723477,,,,001495683026-C8CFL2KUC8MUJT,GF-589,A-9KX4LBAGW3CHAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDCMRUOBHIC,21 Jul 2026 3:09 AM,29000,0,0,,0,,0,0,,0,0,29000,,,,0,,,-5800,0,0,0,0,23200,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,20 Jul 2026 9:13 PM,20 Jul 2026 8:59 PM,GrabFood,Payment ,,Transferred,34893683196,,,,001109114936-C8CFLZNCANVDAT,GF-923,A-9KX4E27GX88MAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDCMRUOBHIC,21 Jul 2026 3:09 AM,41000,0,0,,0,,0,0,,0,0,41000,,,,0,,,-8200,0,0,0,0,32800,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,20 Jul 2026 7:54 PM,20 Jul 2026 7:35 PM,GrabFood,Payment ,,Transferred,34892361906,,,,00110249252-C8CFLCLGT6TCRT,GF-636,A-9KWSO6RW25DQAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDCMRUOBHIC,21 Jul 2026 3:09 AM,51000,0,0,,0,,0,0,,0,0,51000,,,,0,,,-10200,0,0,0,0,40800,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,20 Jul 2026 7:11 PM,20 Jul 2026 6:46 PM,GrabFood,Payment ,,Transferred,34891497367,,,,00145483544-C8CFKAAHUBCKR2,GF-336,A-9KWO8MLWWH6FAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDCMRUOBHIC,21 Jul 2026 3:09 AM,51000,0,0,,0,,0,0,,0,0,51000,,,,0,,,-10200,0,0,0,0,40800,,,,,-11,0,,,,,,,,,
