Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 3:17 PM,18 Jul 2026 2:53 PM,GrabFood,Payment ,,Transferred,34852466925,,,,001037513200-C8CDNETTR7WGDE,GF-906,A-9JNR7O4GWECFAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,41000,0,0,,0,,-12956,0,,0,0,28044,,,,0,,,-5608.8,0,0,0,0,22435.2,,,,,-214.53,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 3:10 PM,18 Jul 2026 2:55 PM,GrabFood,Payment ,,Transferred,34852338602,,,,001404937359-C8CDNE2CT7W1AT,GF-577,A-9JNRC82GWQBTAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,36000,0,0,,0,,-10350,0,,0,0,25650,,,,0,,,-5130,0,0,0,0,20520,,,,,-47.57,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 3:10 PM,18 Jul 2026 2:47 PM,GrabFood,Payment ,,Transferred,34852338068,,,,00102246716-C8CDNCBTL6NDWA,GF-252,A-9JNQL63WWX7NAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,69000,0,0,,0,,-21804,0,,0,0,47196,,,,0,,,-9439.2,0,0,0,0,37756.8,,,,,-361.04,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 9:10 PM,18 Jul 2026 8:38 PM,GrabFood,Payment ,,Transferred,34858684191,,,,001762805225-C8CDTGJHJVDCNJ,GF-271,A-9JOQQAOWWGFLAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,29000,0,0,,0,,-10350,0,,0,0,18650,,,,0,,,-3730,0,0,0,0,14920,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 7:54 PM,18 Jul 2026 6:50 PM,GrabFood,Payment ,,Transferred,34857364048,,,,001729139689-C8CDRYBAJRBJDE,GF-687,A-9JOGTIPGWSUBAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,114000,0,0,,0,,-45030,0,,0,0,68970,,,,0,,,-13794,0,0,0,0,55176,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 7:27 PM,18 Jul 2026 6:44 PM,GrabFood,Payment ,,Transferred,34856822446,,,,001858082842-C8CDRXDKA4EVRJ,GF-684,A-9JOGCDRWWECFAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,51000,0,0,,0,,-16116,0,,0,0,34884,,,,0,,,-6976.8,0,0,0,0,27907.2,,,,,-266.85,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 6:10 PM,18 Jul 2026 5:22 PM,GrabFood,Payment ,,Transferred,34855259329,,,,001427352593-C8CDRAL2R65GV6,GF-361,A-9JO8SLDWWXIDAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,35000,0,0,,0,,-10350,0,,0,0,24650,,,,0,,,-4930,0,0,0,0,19720,,,,,-27.75,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 5:36 PM,18 Jul 2026 5:07 PM,GrabFood,Payment ,,Transferred,34854651365,,,,00188075199-C8CDPEWDGU5DJA,GF-215,A-9JO7HFJGX6IMAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,66000,0,0,,0,,-20856,0,,0,0,45144,,,,0,,,-9028.8,0,0,0,0,36115.2,,,,,-345.34,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Rangkapanjaya Baru,2b246d96-e506-47f5-b4e2-8e5c68276ed1,18 Jul 2026 3:10 PM,18 Jul 2026 2:42 PM,GrabFood,Payment ,,Transferred,34852337854,,,,00134625523-C8CDNBLFGNWUTJ,GF-050,A-9JNQ78FWX6IMAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDYVASPQLKB,19 Jul 2026 2:58 AM,39000,0,0,,0,,-10350,0,,0,0,28650,,,,0,,,-5730,0,0,0,0,22920,,,,,-107.03,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Dramaga,d840b33e-e9ec-470b-ad1e-e1034416eaac,18 Jul 2026 8:59 PM,18 Jul 2026 8:58 PM,GrabFood,,,Cancelled,,,,,00140012730-C8CDTNJTV64KBA,GF-854,A-9JOSL37WX2X9AV,,Not Paid,Cashless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Hampir semua hidangan tidak tersedia,Merchant,,,,,,,
